src_ip,dst_ip,label,0,1,2,3,4,5,6,7
0,18504,0,-0.5111678318808799,-1.0991490962373383,-0.04201525211664575,-0.09944474648748737,-0.04521826075374517,-1.1678603653566342,-0.3724047912439371,-0.04926151191100155
1,18505,1,1.9587606208743162,0.9857100449682907,-0.042614636998234624,-0.11293123422535702,-0.04521826075374517,1.3913720287846234,-0.3742414041706278,-0.0768760252195735
2,18506,1,1.9587606208743162,0.9857100449682907,-0.03761107624757966,-0.08595825874961771,-0.04521826075374517,1.3913720287846234,-0.369693600733108,-0.04926151191100155
3,18507,1,-0.5111678318808799,1.1826515445428236,2.0202075233082466,0.8580958829012578,-0.04521826075374517,0.32128298598847743,-0.24908935188041928,1.2210061002833081
4,18508,0,-0.5111678318808799,-1.1110504691725565,-0.04524671843477708,-0.12641772196322668,-0.04521826075374517,-0.7293588532775185,-0.3367657546902963,-0.0768760252195735
5,18509,1,1.9587606208743162,0.9857100449682907,-0.04329220251655248,-0.12641772196322668,-0.04521826075374517,1.3913720287846234,-0.3766902214062154,-0.0768760252195735
6,18510,0,-0.5111678318808799,-1.1110504691725565,-0.04524671843477708,-0.12641772196322668,-0.04521826075374517,-0.7293588532775185,-0.31568843491256027,-0.0768760252195735
7,18511,1,-0.5111678318808799,1.0793805994732508,-0.0466018494714128,0.021933643153339476,-0.04521826075374517,1.5048131810071965,-0.3528142533592364,-0.10449053852814545
8,18512,1,-0.5111678318808799,1.0793805994732508,-0.0466018494714128,-0.09944474648748737,-0.04521826075374517,1.5048131810071965,-0.3727546222775925,-0.10449053852814545
9,18513,0,-0.5111678318808799,-1.1110504691725565,-0.04524671843477708,-0.12641772196322668,-0.04521826075374517,-0.7293588532775185,-0.3181809810273548,-0.0768760252195735
10,18509,1,1.9587606208743162,0.9857100449682907,-0.04329220251655248,-0.12641772196322668,-0.04521826075374517,1.3913720287846234,-0.3766902214062154,-0.0768760252195735
11,18514,0,-0.5111678318808799,-1.1110504691725565,-0.04389158739814136,0.23771744695925387,-0.04521826075374517,-0.34113151821286153,1.4099405963509648,-0.04926151191100155
12,18515,0,-0.5111678318808799,-1.1110504691725565,-0.04389158739814136,0.2916633979107325,-0.04521826075374517,-0.34113151821286153,1.6723138715924923,-0.04926151191100155
13,18516,0,-0.5111678318808799,-1.1110504691725565,-0.04389158739814136,0.2916633979107325,-0.04521826075374517,-1.1662176649593607,1.6723138715924923,-0.04926151191100155
14,18509,1,1.9587606208743162,0.9857100449682907,-0.0466018494714128,-0.09944474648748737,-0.04521826075374517,1.3913720287846234,-0.3717925869350402,-0.10449053852814545
15,18509,1,1.9587606208743162,0.9857100449682907,-0.04329220251655248,-0.12641772196322668,-0.04521826075374517,1.3913720287846234,-0.3766902214062154,-0.0768760252195735
16,18517,1,-0.5111678318808799,0.30028968426956826,0.11416359985562093,0.18377149600777526,-0.04521826075374517,-0.34113151821286153,-0.18336484643241668,0.5582577808775815
17,18518,1,-0.5111678318808799,0.38973052125775626,0.009479727275511595,-0.005039332322399822,-0.04521826075374517,0.32128298598847743,-0.1605821003656107,0.19926910786614602
18,18519,0,-0.5111678318808799,-1.1110504691725565,-0.04524671843477708,0.2916633979107325,-0.04521826075374517,-0.34113151821286153,1.7195847900151742,-0.0768760252195735
19,18520,0,-0.5111678318808799,-1.1110504691725565,-0.04524671843477708,-0.12641772196322668,-0.04521826075374517,-0.7293588532775185,-0.3730607244320409,-0.0768760252195735
